~iteration~,m,gamma,op,on,delta_p,delta_n
2502,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2511,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2520,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2529,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2538,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2547,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2556,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2565,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2574,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2583,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2592,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2601,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2610,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2619,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2628,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2637,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2646,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2655,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2664,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2673,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2682,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2691,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2700,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2709,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2718,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2727,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2736,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2745,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2754,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2763,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2772,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2781,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2790,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2799,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2808,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2817,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2826,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2835,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2844,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2853,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2862,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2871,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2880,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2889,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2898,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2907,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2916,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2925,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2934,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2943,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2952,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2961,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2970,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2979,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2988,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2997,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3006,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3015,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3024,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3033,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3042,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3051,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3060,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3069,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3078,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3087,0.8,80,1.8,-0.8,0.19999999999999996,0.8
