~iteration~,classifier_loss,total_loss,metric_loss
3456,1,1.0,1.0
3465,1,1.0,1.0
3474,1,1.0,1.0
3483,1,1.0,1.0
3492,1,1.0,1.0
3501,1,1.0,1.0
3510,1,1.0,1.0
3519,1,1.0,1.0
3528,1,1.0,1.0
3537,1,1.0,1.0
3546,1,1.0,1.0
3555,1,1.0,1.0
3564,1,1.0,1.0
3573,1,1.0,1.0
3582,1,1.0,1.0
3591,1,1.0,1.0
