Dim1,Dim2
0.83787775,11.137393
8.687283,0.44442797
10.126056,4.5597935
8.7787285,6.3084073
8.901544,0.6891182
6.0234656,8.792679
2.5482955,10.092164
4.586542,10.425181
4.5318637,10.639857
5.2902155,9.277342
-1.8581634,9.43354
4.6384525,9.603517
8.1197405,6.794852
2.7183661,10.714055
9.067361,4.656948
2.986911,10.307761
3.9771795,10.215423
6.665971,8.265812
7.5365863,7.1429243
6.2800503,8.45834
4.4536715,10.873434
-0.79868495,9.639857
8.098211,5.317737
2.1377754,10.545764
1.5925566,11.469937
1.2943181,11.410848
-3.6756797,4.854844
1.9103289,11.440282
1.880587,11.146309
-3.538019,5.178181
6.5611715,8.115998
8.426686,4.9515624
9.97183,2.181133
9.220805,1.2171657
-0.8880656,9.544138
9.925041,2.1793687
9.774723,4.8688164
8.9541645,0.9032928
4.5249543,10.573874
2.1729844,10.684722
9.076698,0.9686981
8.732793,0.4376729
8.451811,5.3007603
1.703601,11.220142
8.255448,6.6235647
-1.878421,9.284601
0.59418356,10.635158
5.054771,9.360564
9.197443,0.76376957
6.3752456,8.423655
8.226384,5.0467424
9.05721,0.91689044
9.921338,4.962977
8.367361,5.78714
6.5258756,8.505867
9.937172,2.734836
2.2165973,11.353224
9.542286,1.5062817
6.6510744,8.489195
8.962957,4.5167966
9.564482,5.530365
9.907705,2.8131
8.686595,0.46301788
9.010571,6.455816
7.7128897,6.1749687
1.350578,10.226332
8.684608,0.4403657
8.017831,5.900363
1.720007,11.481058
8.70121,5.728157
0.108255796,10.296074
-0.85296506,9.520735
-3.4228134,5.5585384
-3.639728,5.1974096
-2.5627027,8.735066
-2.8264034,7.828505
-1.8397574,9.203986
-0.87687755,9.643589
8.13508,5.2648616
-3.6241615,4.9958377
-0.24688016,10.088953
-1.995017,9.213645
8.974949,4.8583713
-1.17618,9.173639
5.4957743,10.247772
-3.2435076,6.390034
-3.6066465,4.9858255
1.1929992,11.36387
2.4817345,10.313329
-2.4718657,7.5441823
-3.6423373,5.4416738
6.632025,8.332065
0.98377514,10.219987
10.108251,2.5934331
9.716473,4.485739
6.878231,8.267045
3.736887,9.995554
9.175255,0.76784295
9.20142,1.0020133
3.8800485,9.954817
4.7350464,9.602602
8.529576,6.602432
6.3469086,8.483952
6.733696,8.343233
5.4498487,9.221276
6.6651607,8.314373
5.867583,10.718268
4.241024,10.119641
-3.7024765,5.3034
7.939501,6.6761546
9.300567,6.635426
2.1691992,10.00666
4.8460402,9.199078
4.1653523,9.936531
-0.46584585,10.015338
6.6560636,8.469334
9.951969,2.1146772
3.4157076,10.435572
9.74876,1.8451319
5.7218666,9.963417
7.703637,6.157618
9.089184,0.76462543
